active_date,skill_name,job_count,month_total
2022-10,Communication Skills,1,639
2022-10,People Management,1,639
2022-10,DevOps,1,639
2022-10,VBA,1,639
2022-10,A&VLP,1,639
2022-10,DAX,1,639
2022-10,K8S,1,639
2022-10,Bash,1,639
2022-10,mss office,1,639
2022-10,Oracle,1,639
2022-10,SOP,1,639
2022-10,Pandas,1,639
2022-10,JIRA,1,639
2022-11,SQL,150,645
2022-11,Python,60,645
2022-11,PowerBI,55,645
2022-11,Java,35,645
2022-11,NoSQL,34,645
2022-11,Tableau,32,645
2022-11,Excel,30,645
2022-11,AWS,29,645
2022-11,Hadoop,22,645
2022-11,Scala,20,645
2022-11,ETL,20,645
2022-11,SAP,19,645
2022-11,FICO,19,645
2022-11,Spark,13,645
2022-11,Looker,10,645
2022-11,SaaS,9,645
2022-11,Kafka,8,645
2022-11,Cloud,7,645
2022-11,Linux,7,645
2022-11,GCP,5,645
2022-11,DWH,5,645
2022-11,R,4,645
2022-11,Cloud Composer,3,645
2022-11,strategic advisory,3,645
2022-11,Statistics,3,645
2022-11,DBT,3,645
2022-11,Git,2,645
2022-11,BI reporting,2,645
2022-11,Problem Solving,2,645
2022-11,Airflow,2,645
2022-11,Glue,2,645
2022-11,Microsoft Azure Cloud,2,645
2022-11,Hive,2,645
2022-11,Cloudera,2,645
2022-11,ML models,1,645
2022-11,Power Apps,1,645
2022-11,MS Azure,1,645
2022-11,alteryx,1,645
2022-11,Microsoft 365,1,645
2022-11,Apache Hadoop,1,645
2022-11,qlik,1,645
2022-11,Apache,1,645
2022-11,Unix,1,645
2022-11,HTML5,1,645
2022-11,PHP 7.x,1,645
2022-11,Communication Skills,1,645
2022-11,People Management,1,645
2022-11,DevOps,1,645
2022-11,GSUITE,1,645
2022-11,Atlassian,1,645
2022-11,MS Office,1,645
2022-11,A&VLP,1,645
2022-11,DAX,1,645
2022-11,K8S,1,645
2022-11,Bash,1,645
2022-11,BI,1,645
2022-11,SOP,1,645
2022-11,Pandas,1,645
2022-12,SQL,145,569
2022-12,Python,50,569
2022-12,PowerBI,42,569
2022-12,NoSQL,34,569
2022-12,Java,34,569
2022-12,AWS,30,569
2022-12,Scala,26,569
2022-12,Tableau,25,569
2022-12,R,23,569
2022-12,Hadoop,21,569
2022-12,ETL,21,569
2022-12,Spark,11,569
2022-12,Agile,11,569
2022-12,Excel,10,569
2022-12,Looker,10,569
2022-12,DWH,10,569
2022-12,Cloud,7,569
2022-12,GCP,6,569
2022-12,SAP,4,569
2022-12,Azure,4,569
2022-12,Linux,4,569
2022-12,Git,3,569
2022-12,Cloud Composer,3,569
2022-12,strategic advisory,3,569
2022-12,Schema Design,3,569
2022-12,DBT,3,569
2022-12,Apache,2,569
2022-12,Kafka,2,569
2022-12,Glue,2,569
2022-12,BI,2,569
2022-12,Power Apps,1,569
2022-12,Microsoft 365,1,569
2022-12,qlik,1,569
2022-12,Unix,1,569
2022-12,HTML5,1,569
2022-12,PHP 7.x,1,569
2022-12,VBA,1,569
2022-12,DevOps,1,569
2022-12,Microsoft Azure Cloud,1,569
2022-12,GSUITE,1,569
2022-12,Atlassian,1,569
2022-12,DAX,1,569
2022-12,K8S,1,569
2022-12,Bash,1,569
2022-12,Pandas,1,569
2022-12,Flink,1,569
2022-12,Storm,1,569
2022-12,Student,1,569
2023-01,SQL,195,751
2023-01,Python,77,751
2023-01,ETL,77,751
2023-01,Excel,48,751
2023-01,PowerBI,47,751
2023-01,Scala,46,751
2023-01,AWS,26,751
2023-01,Tableau,25,751
2023-01,R,23,751
2023-01,Linux,22,751
2023-01,Redis,19,751
2023-01,Spark,17,751
2023-01,Java,15,751
2023-01,NoSQL,15,751
2023-01,Agile,11,751
2023-01,DWH,10,751
2023-01,Cloud,7,751
2023-01,Hadoop,4,751
2023-01,SAP,4,751
2023-01,Azure,4,751
2023-01,RDBMS,4,751
2023-01,Oracle,4,751
2023-01,Git,3,751
2023-01,strategic advisory,3,751
2023-01,Schema Design,3,751
2023-01,GCP,3,751
2023-01,VBA,3,751
2023-01,Looker,3,751
2023-01,XML,2,751
2023-01,Apache,2,751
2023-01,Kafka,2,751
2023-01,DBT,2,751
2023-01,BI,2,751
2023-01,Outlook,2,751
2023-01,ms teams,2,751
2023-01,Trading voice,2,751
2023-01,Power Apps,1,751
2023-01,Risk Management,1,751
2023-01,Team Management,1,751
2023-01,Project Management,1,751
2023-01,Unix,1,751
2023-01,HTML5,1,751
2023-01,PHP 7.x,1,751
2023-01,Microsoft Azure Cloud,1,751
2023-01,GSUITE,1,751
2023-01,Atlassian,1,751
2023-01,DAX,1,751
2023-01,K8S,1,751
2023-01,Bash,1,751
2023-01,Pandas,1,751
2023-01,Flink,1,751
2023-01,Storm,1,751
2023-01,Student,1,751
2023-02,SQL,210,823
2023-02,Python,117,823
2023-02,ETL,75,823
2023-02,Scala,64,823
2023-02,PowerBI,59,823
2023-02,Excel,47,823
2023-02,Spark,39,823
2023-02,AWS,23,823
2023-02,Linux,21,823
2023-02,GCP,21,823
2023-02,Redis,19,823
2023-02,Java,14,823
2023-02,Cloud Native,12,823
2023-02,Azure,10,823
2023-02,Cloud,7,823
2023-02,R,6,823
2023-02,Tableau,5,823
2023-02,DevOps,5,823
2023-02,DWH,5,823
2023-02,Hadoop,4,823
2023-02,Problem Solving,4,823
2023-02,RDBMS,4,823
2023-02,Oracle,4,823
2023-02,Git,3,823
2023-02,qlik,3,823
2023-02,VBA,3,823
2023-02,AXIOM,3,823
2023-02,Team Leadership,3,823
2023-02,SAP ERP,2,823
2023-02,Cloudera,2,823
2023-02,HotJar,2,823
2023-02,Looker,2,823
2023-02,DBT,2,823
2023-02,Flink,2,823
2023-02,Outlook,2,823
2023-02,ms teams,2,823
2023-02,Trading voice,2,823
2023-02,cdh,1,823
2023-02,HDFS,1,823
2023-02,XML,1,823
2023-02,Risk Management,1,823
